id,layer,kind,signature_or_source,owner,security_definer,search_path,execute_acl,writes,callers,cutover_disposition,tests
W09,db,rpc-admin,"public.realign_instrument_unit(p_expert_id uuid, p_symbol_prefix text, p_new_unit text)",postgres,False,search_path=public,"{postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres,sandbox_exec_yqacmrgdjlenbijclngi=X/postgres}",expert_signals;trade_records,,REWRITE: unit realignment as correction effect,W09.happy;W09.retry;W09.negative_unauthorized;W09.rollback
W15,db,trigger,public.recalc_user_summary_on_perf_delete(),postgres,False,search_path=public,"{postgres=X/postgres,service_role=X/postgres,sandbox_exec_yqacmrgdjlenbijclngi=X/postgres}",user_summaries,user_performances:trg_recalc_summary_on_perf_delete,"KEEP: derived summary only, no economic write",W15.happy;W15.retry;W15.negative_unauthorized;W15.rollback
W02,db,rpc,"public.save_signal_batch(_expert_id uuid, _batch_id uuid, _signals jsonb, _legs jsonb, _is_editing boolean)",postgres,False,search_path=public,"{postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres,sandbox_exec_yqacmrgdjlenbijclngi=X/postgres}",expert_signal_legs;expert_signals;trade_records,,REWRITE: per-signal loop -> canonical_apply_effect (idempotent by origin_signal_id),W02.happy;W02.retry;W02.negative_unauthorized;W02.rollback
W08,db,rpc-admin,public.trade_dedupe_sweep(p_dry_run boolean),postgres,False,search_path=public,"{postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,sandbox_exec_yqacmrgdjlenbijclngi=X/postgres}",trade_records,,"REWRITE: dedupe via canonical idempotency, no raw DELETE",W08.happy;W08.retry;W08.negative_unauthorized;W08.rollback
W13,db,rpc-price,"public.upsert_current_price(p_writer text, p_rows jsonb)",postgres,False,search_path=public,"{postgres=X/postgres,service_role=X/postgres,sandbox_exec_yqacmrgdjlenbijclngi=X/postgres}",current_prices,,KEEP + NARROW: price whitelist only,W13.happy;W13.retry;W13.negative_unauthorized;W13.rollback
E01,edge,edge-function,supabase/functions/backfill-daily-snapshots/index.ts,service_role (JWT),False,n/a,service_role key,daily_price_snapshots:update/upsert,,REPOINT: economic DML must call canonical RPC,E01.happy;E01.retry;E01.negative_unauthorized;E01.rollback
E02,edge,edge-function,supabase/functions/backfill-snapshots-twse-bulk/index.ts,service_role (JWT),False,n/a,service_role key,daily_price_snapshots:upsert,,REPOINT: economic DML must call canonical RPC,E02.happy;E02.retry;E02.negative_unauthorized;E02.rollback
E03,edge,edge-function,supabase/functions/checkup-research-extract/index.ts,service_role (JWT),False,n/a,service_role key,target_price_history:insert,,REPOINT: economic DML must call canonical RPC,E03.happy;E03.retry;E03.negative_unauthorized;E03.rollback
E04,edge,edge-function,supabase/functions/crypto-price-sync/index.ts,service_role (JWT),False,n/a,service_role key,,upsert_current_price,KEEP: already goes through an RPC,E04.happy;E04.retry;E04.negative_unauthorized;E04.rollback
E05,edge,edge-function,supabase/functions/daily-performance/index.ts,service_role (JWT),False,n/a,service_role key,trade_records:update,,REPOINT: economic DML must call canonical RPC,E05.happy;E05.retry;E05.negative_unauthorized;E05.rollback
E06,edge,edge-function,supabase/functions/daily-snapshot/index.ts,service_role (JWT),False,n/a,service_role key,daily_price_snapshots:upsert,,REPOINT: economic DML must call canonical RPC,E06.happy;E06.retry;E06.negative_unauthorized;E06.rollback
E07,edge,edge-function,supabase/functions/line-push-signal/index.ts,service_role (JWT),False,n/a,service_role key,expert_signals:update,,REPOINT: economic DML must call canonical RPC,E07.happy;E07.retry;E07.negative_unauthorized;E07.rollback
E08,edge,edge-function,supabase/functions/publish-weekly-journals/supabasePort.ts,service_role (JWT),False,n/a,service_role key,expert_signals:update;user_performances:delete/insert,,REPOINT: economic DML must call canonical RPC,E08.happy;E08.retry;E08.negative_unauthorized;E08.rollback
E09,edge,edge-function,supabase/functions/reconcile-warrant-quantities/index.ts,service_role (JWT),False,n/a,service_role key,trade_records:update,,REPOINT: economic DML must call canonical RPC,E09.happy;E09.retry;E09.negative_unauthorized;E09.rollback
E10,edge,edge-function,supabase/functions/refresh-targets-weekly/index.ts,service_role (JWT),False,n/a,service_role key,target_price_history:upsert,,REPOINT: economic DML must call canonical RPC,E10.happy;E10.retry;E10.negative_unauthorized;E10.rollback
E11,edge,edge-function,supabase/functions/stock-price-sync/index.ts,service_role (JWT),False,n/a,service_role key,user_performances:upsert;user_summaries:upsert,upsert_current_price,NARROW: whitelist current_price/price_updated_at only (R1-D §6),E11.happy;E11.retry;E11.negative_unauthorized;E11.rollback
E12,edge,edge-function,supabase/functions/us-option-price-sync/index.ts,service_role (JWT),False,n/a,service_role key,,upsert_current_price,KEEP: already goes through an RPC,E12.happy;E12.retry;E12.negative_unauthorized;E12.rollback
E13,edge,edge-function,supabase/functions/us-stock-quote/index.ts,service_role (JWT),False,n/a,service_role key,,upsert_current_price,KEEP: already goes through an RPC,E13.happy;E13.retry;E13.negative_unauthorized;E13.rollback
